name,state,state_code
Kirtland Community College,Michigan,MI
Kishwaukee College,Illinois,IL
Klamath Community College,Oregon,OR
Knox College,Illinois,IL
Kutztown University of Pennsylvania,Pennsylvania,PA
Kuyper College,Michigan,MI
La Roche College,Pennsylvania,PA
La Salle University,Pennsylvania,PA
La Sierra University,California,CA
Labette Community College,Kansas,KS
Laboure College,Massachusetts,MA
Lac Courte Oreilles Ojibwa Community College,Wisconsin,WI
Lackawanna College,Pennsylvania,PA
Lafayette College,Pennsylvania,PA
LaGrange College,Georgia,GA
Laguna College of Art and Design,California,CA
Lake Area Technical Institute,South Dakota,SD
Lake Erie College,Ohio,OH
Lake Forest College,Illinois,IL
Lake Land College,Illinois,IL
Lake Michigan College,Michigan,MI
Lake Region State College,North Dakota,ND
Lake Superior College,Minnesota,MN
Lake Superior State University,Michigan,MI
Lake Tahoe Community College,California,CA
Lake Washington Institute of Technology,Washington,WA
Lake-Sumter State College,Florida,FL
Lakeland Community College,Ohio,OH
Lakeland University,Wisconsin,WI
Lakes Region Community College,New Hampshire,NH
Lakeshore Technical College,Wisconsin,WI
Lakeview College of Nursing,Illinois,IL
Lamar Community College,Colorado,CO
Lamar Institute of Technology,Texas,TX
Lamar State College at Orange,Texas,TX
Lamar State College at Port Arthur,Texas,TX
Lamar University,Texas,TX
Lancaster Bible College,Pennsylvania,PA
Lander University,South Carolina,SC
Landing School of Boatbuilding and Design,Maine,ME
Landmark College,Vermont,VT
Lane College,Tennessee,TN
Lane Community College,Oregon,OR
Laney College,California,CA
Langston University,Oklahoma,OK
Lansing Community College,Michigan,MI
Laramie County Community College,Wyoming,WY
Laredo Community College,Texas,TX
Las Positas College,California,CA
Lasell College,Massachusetts,MA
Lassen Community College,California,CA
Lawrence Technological University,Michigan,MI
Lawrence University,Wisconsin,WI
Lawson State Community College,Alabama,AL
LDS Business College,Utah,UT
Le Moyne College,New York,NY
Lebanon Valley College,Pennsylvania,PA
Lee College,Texas,TX
Lee University,Tennessee,TN
Leech Lake Tribal College,Minnesota,MN
Lees-McRae College,North Carolina,NC
Lehigh Carbon Community College,Pennsylvania,PA
Lehigh University,Pennsylvania,PA
LeMoyne-Owen College,Tennessee,TN
Lenoir Community College,North Carolina,NC
Lenoir-Rhyne University,North Carolina,NC
Lesley University,Massachusetts,MA
LeTourneau University,Texas,TX
Lewis & Clark College,Oregon,OR
Lewis and Clark Community College,Illinois,IL
Lewis University,Illinois,IL
Lewis-Clark State College,Idaho,ID
Liberty University,Virginia,VA
Life Pacific College,California,CA
Life University,Georgia,GA
LIM College,New York,NY
Limestone College,South Carolina,SC
Lincoln Christian University,Illinois,IL
Lincoln College,Illinois,IL
Lincoln Land Community College,Illinois,IL
Lincoln Memorial University,Tennessee,TN
Lincoln University,California,CA
Lincoln University,Pennsylvania,PA
Lincoln University,Missouri,MO
Lindenwood University,Missouri,MO
Lindsey Wilson College,Kentucky,KY
Linfield College,Oregon,OR
Linn-Benton Community College,Oregon,OR
Lipscomb University,Tennessee,TN
Little Big Horn College,Montana,MT
Little Priest Tribal College,Nebraska,NE
LIU Brooklyn,New York,NY
LIU Post,New York,NY
Livingstone College,North Carolina,NC
Lock Haven University of Pennsylvania,Pennsylvania,PA
Logan University,Missouri,MO
Loma Linda University,California,CA
Lone Star College System,Texas,TX
Long Beach City College,California,CA
Long Island Business Institute,New York,NY
Longwood University,Virginia,VA
Lorain County Community College,Ohio,OH
