year,Team,college,PLAYER,player_height,player_weight,Pos_x,GP,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,FGMI,FG3MI,FTMI,fg_production,fg3_production,ft_production,ancillary_production,shooting_production,total_production,fg_efficiency,fg3_efficiency,ft_efficiency
2020,Golden State Warriors,Kansas,Andrew Wiggins,200.66,89.357624,PF,71,2364,505,1058,0.477,140,368,0.38,170,238,0.714,82,265,347,167,67,70,126,159,1320,553,228,68,-96,-264,102,146.55,-258,-111.44999999999999,0.4773156899810964,0.3804347826086957,0.7142857142857143
2020,San Antonio Spurs,Southern California,DeMar DeRozan,198.12,99.79024,PF,61,2056,455,920,0.495,19,74,0.257,387,440,0.88,40,219,259,422,56,15,119,128,1316,465,55,53,-20,-108,334,149.85,206,355.85,0.4945652173913043,0.25675675675675674,0.8795454545454545
2020,Los Angeles Clippers,San Diego State,Kawhi Leonard,200.66,102.0582,SF,52,1772,465,908,0.512,101,254,0.398,261,295,0.885,55,282,337,269,81,21,105,82,1292,443,153,34,44,-156,227,159.65,115,274.65,0.512114537444934,0.39763779527559057,0.8847457627118644
2020,Portland Trail Blazers,UCLA,Norman Powell,190.5,97.52228,SG,69,2206,438,918,0.477,171,416,0.411,236,271,0.871,42,173,215,129,82,18,119,160,1283,480,245,35,-84,-222,201,79.0,-105,-26.0,0.477124183006536,0.4110576923076923,0.8708487084870848
2020,Portland Trail Blazers,UCLA,Norman Powell,190.5,97.52228,SG,69,2206,438,918,0.477,171,416,0.411,236,271,0.871,42,173,215,129,82,18,119,160,1283,480,245,35,-84,-222,201,79.0,-105,-26.0,0.477124183006536,0.4110576923076923,0.8708487084870848
2020,Portland Trail Blazers,UCLA,Norman Powell,190.5,97.52228,SG,69,2206,438,918,0.477,171,416,0.411,236,271,0.871,42,173,215,129,82,18,119,160,1283,480,245,35,-84,-222,201,79.0,-105,-26.0,0.477124183006536,0.4110576923076923,0.8708487084870848
2020,Portland Trail Blazers,UCLA,Norman Powell,190.5,97.52228,SG,69,2206,438,918,0.477,171,416,0.411,236,271,0.871,42,173,215,129,82,18,119,160,1283,480,245,35,-84,-222,201,79.0,-105,-26.0,0.477124183006536,0.4110576923076923,0.8708487084870848
2020,Portland Trail Blazers,UCLA,Norman Powell,190.5,97.52228,SG,69,2206,438,918,0.477,171,416,0.411,236,271,0.871,42,173,215,129,82,18,119,160,1283,480,245,35,-84,-222,201,79.0,-105,-26.0,0.477124183006536,0.4110576923076923,0.8708487084870848
2020,Portland Trail Blazers,UCLA,Norman Powell,190.5,97.52228,SG,69,2206,438,918,0.477,171,416,0.411,236,271,0.871,42,173,215,129,82,18,119,160,1283,480,245,35,-84,-222,201,79.0,-105,-26.0,0.477124183006536,0.4110576923076923,0.8708487084870848
2020,Portland Trail Blazers,UCLA,Norman Powell,190.5,97.52228,SF,69,2206,438,918,0.477,171,416,0.411,236,271,0.871,42,173,215,129,82,18,119,160,1283,480,245,35,-84,-222,201,79.0,-105,-26.0,0.477124183006536,0.4110576923076923,0.8708487084870848
2020,Portland Trail Blazers,UCLA,Norman Powell,190.5,97.52228,SF,69,2206,438,918,0.477,171,416,0.411,236,271,0.871,42,173,215,129,82,18,119,160,1283,480,245,35,-84,-222,201,79.0,-105,-26.0,0.477124183006536,0.4110576923076923,0.8708487084870848
